game_num,team,team_result,away_team,home_team,away_team_goals,home_team_goals
1,Colorado Avalanche,1,Chicago Blackhawks,Colorado Avalanche,2,4
2,Colorado Avalanche,-1,St. Louis Blues,Colorado Avalanche,5,3
3,Colorado Avalanche,-1,Colorado Avalanche,Washington Capitals,3,6
4,Colorado Avalanche,-1,Colorado Avalanche,Florida Panthers,1,4
5,Colorado Avalanche,1,Colorado Avalanche,Tampa Bay Lightning,4,3
6,Colorado Avalanche,-1,Vegas Golden Knights,Colorado Avalanche,3,1
7,Colorado Avalanche,1,Colorado Avalanche,St. Louis Blues,4,3
8,Colorado Avalanche,1,Minnesota Wild,Colorado Avalanche,1,4
9,Colorado Avalanche,-1,Columbus Blue Jackets,Colorado Avalanche,5,4
10,Colorado Avalanche,-1,Colorado Avalanche,Columbus Blue Jackets,2,4
11,Colorado Avalanche,1,Vancouver Canucks,Colorado Avalanche,1,7
12,Colorado Avalanche,1,San Jose Sharks,Colorado Avalanche,2,6
13,Colorado Avalanche,1,Colorado Avalanche,Vancouver Canucks,4,2
14,Colorado Avalanche,1,Colorado Avalanche,Seattle Kraken,7,3
15,Colorado Avalanche,1,Ottawa Senators,Colorado Avalanche,5,7
16,Colorado Avalanche,1,Anaheim Ducks,Colorado Avalanche,2,5
17,Colorado Avalanche,-1,Colorado Avalanche,Dallas Stars,1,3
18,Colorado Avalanche,1,Nashville Predators,Colorado Avalanche,2,6
19,Colorado Avalanche,-1,Colorado Avalanche,Toronto Maple Leafs,3,8
20,Colorado Avalanche,1,Colorado Avalanche,Montréal Canadiens,4,1
21,Colorado Avalanche,-1,Colorado Avalanche,Ottawa Senators,5,6
22,Colorado Avalanche,1,Colorado Avalanche,Philadelphia Flyers,7,5
23,Colorado Avalanche,1,Colorado Avalanche,New York Rangers,7,3
24,Colorado Avalanche,1,Detroit Red Wings,Colorado Avalanche,3,7
25,Colorado Avalanche,1,Florida Panthers,Colorado Avalanche,2,3
26,Colorado Avalanche,1,New York Rangers,Colorado Avalanche,2,4
