team,player,result,x,y
Colorado Avalanche,Alex Newhook,BLOCKED_SHOT,74.0,4.0
Colorado Avalanche,Logan O'Connor,MISSED_SHOT,53.0,30.0
Colorado Avalanche,Logan O'Connor,SHOT,55.0,7.0
Colorado Avalanche,Nazem Kadri,MISSED_SHOT,77.0,-3.0
Colorado Avalanche,Jack Johnson,GOAL,77.0,-1.0
Colorado Avalanche,Nazem Kadri,SHOT,80.0,-14.0
Colorado Avalanche,Gabriel Landeskog,GOAL,80.0,-4.0
Colorado Avalanche,Mikko Rantanen,SHOT,53.0,10.0
Colorado Avalanche,Erik Johnson,SHOT,58.0,35.0
Colorado Avalanche,Tyson Jost,SHOT,78.0,2.0
Colorado Avalanche,Tyson Jost,SHOT,79.0,12.0
Colorado Avalanche,Logan O'Connor,SHOT,74.0,-25.0
Colorado Avalanche,Mikko Rantanen,MISSED_SHOT,32.0,-2.0
Colorado Avalanche,Cale Makar,SHOT,39.0,-14.0
Colorado Avalanche,Bowen Byram,GOAL,56.0,24.0
Colorado Avalanche,J.T. Compher,SHOT,58.0,-3.0
Colorado Avalanche,Bowen Byram,SHOT,65.0,23.0
Colorado Avalanche,J.T. Compher,SHOT,84.0,32.0
Colorado Avalanche,Erik Johnson,SHOT,48.0,-24.0
Colorado Avalanche,Sampo Ranta,BLOCKED_SHOT,54.0,-3.0
Colorado Avalanche,Jayson Megna,SHOT,67.0,35.0
Colorado Avalanche,Samuel Girard,BLOCKED_SHOT,56.0,-8.0
Colorado Avalanche,Erik Johnson,BLOCKED_SHOT,68.0,-15.0
Colorado Avalanche,Jack Johnson,BLOCKED_SHOT,85.0,5.0
Colorado Avalanche,Valeri Nichushkin,MISSED_SHOT,76.0,15.0
Colorado Avalanche,Cale Makar,SHOT,46.0,-7.0
Colorado Avalanche,Nazem Kadri,SHOT,53.0,-25.0
Colorado Avalanche,Cale Makar,MISSED_SHOT,63.0,36.0
Colorado Avalanche,Samuel Girard,SHOT,59.0,15.0
Colorado Avalanche,J.T. Compher,MISSED_SHOT,80.0,8.0
Colorado Avalanche,Andre Burakovsky,BLOCKED_SHOT,74.0,-3.0
Colorado Avalanche,Sampo Ranta,BLOCKED_SHOT,65.0,-2.0
Colorado Avalanche,Nazem Kadri,SHOT,73.0,5.0
Colorado Avalanche,Gabriel Landeskog,SHOT,78.0,-12.0
Colorado Avalanche,Gabriel Landeskog,MISSED_SHOT,76.0,-3.0
Colorado Avalanche,Cale Makar,SHOT,34.0,-17.0
Colorado Avalanche,Cale Makar,BLOCKED_SHOT,78.0,-20.0
Colorado Avalanche,J.T. Compher,MISSED_SHOT,75.0,-6.0
Colorado Avalanche,Samuel Girard,BLOCKED_SHOT,67.0,15.0
Colorado Avalanche,Ryan Murray,BLOCKED_SHOT,64.0,-1.0
Colorado Avalanche,Gabriel Landeskog,SHOT,54.0,28.0
Colorado Avalanche,J.T. Compher,SHOT,68.0,7.0
Colorado Avalanche,Valeri Nichushkin,SHOT,62.0,-22.0
Colorado Avalanche,Nazem Kadri,GOAL,85.0,-8.0
Colorado Avalanche,Valeri Nichushkin,SHOT,87.0,23.0
Colorado Avalanche,Samuel Girard,MISSED_SHOT,34.0,-24.0
Colorado Avalanche,Andre Burakovsky,BLOCKED_SHOT,51.0,1.0
Colorado Avalanche,Samuel Girard,BLOCKED_SHOT,71.0,-9.0
Colorado Avalanche,Samuel Girard,BLOCKED_SHOT,79.0,0.0
Colorado Avalanche,Bowen Byram,MISSED_SHOT,34.0,33.0
Colorado Avalanche,Logan O'Connor,SHOT,55.0,-15.0
Colorado Avalanche,Mikko Rantanen,BLOCKED_SHOT,66.0,7.0
Colorado Avalanche,J.T. Compher,SHOT,79.0,29.0
Colorado Avalanche,J.T. Compher,MISSED_SHOT,62.0,-13.0
Colorado Avalanche,Mikko Rantanen,SHOT,85.0,-9.0
Colorado Avalanche,J.T. Compher,SHOT,81.0,3.0
Colorado Avalanche,Nazem Kadri,SHOT,66.0,13.0
Colorado Avalanche,Logan O'Connor,BLOCKED_SHOT,46.0,11.0
Colorado Avalanche,Valeri Nichushkin,SHOT,83.0,-7.0
Colorado Avalanche,Gabriel Landeskog,SHOT,86.0,-7.0
Colorado Avalanche,Valeri Nichushkin,MISSED_SHOT,78.0,2.0
Colorado Avalanche,Sampo Ranta,MISSED_SHOT,49.0,-3.0
Colorado Avalanche,Alex Newhook,SHOT,65.0,38.0
Colorado Avalanche,Samuel Girard,BLOCKED_SHOT,70.0,1.0
Colorado Avalanche,Jack Johnson,SHOT,78.0,23.0
Colorado Avalanche,Ryan Murray,BLOCKED_SHOT,81.0,7.0
Colorado Avalanche,J.T. Compher,MISSED_SHOT,34.0,1.0
Colorado Avalanche,Mikko Rantanen,MISSED_SHOT,87.0,-7.0
Colorado Avalanche,Kurtis MacDermid,BLOCKED_SHOT,66.0,8.0
Colorado Avalanche,Samuel Girard,SHOT,36.0,-20.0
Colorado Avalanche,Samuel Girard,MISSED_SHOT,33.0,-23.0
Colorado Avalanche,Mikko Rantanen,SHOT,9.0,-36.0
Colorado Avalanche,Nazem Kadri,SHOT,53.0,-13.0
Colorado Avalanche,Cale Makar,MISSED_SHOT,36.0,-27.0
Colorado Avalanche,Mikko Rantanen,MISSED_SHOT,46.0,5.0
Colorado Avalanche,Jayson Megna,SHOT,59.0,-13.0
Colorado Avalanche,Bowen Byram,SHOT,64.0,17.0
Colorado Avalanche,Jayson Megna,BLOCKED_SHOT,50.0,2.0
Colorado Avalanche,Dylan Sikura,BLOCKED_SHOT,63.0,11.0
Colorado Avalanche,Darren Helm,BLOCKED_SHOT,52.0,-0.0
Colorado Avalanche,Bowen Byram,SHOT,55.0,1.0
Colorado Avalanche,Nazem Kadri,MISSED_SHOT,54.0,22.0
Colorado Avalanche,Erik Johnson,MISSED_SHOT,54.0,-21.0
Colorado Avalanche,Tyson Jost,SHOT,89.0,-9.0
Colorado Avalanche,Bowen Byram,MISSED_SHOT,77.0,-20.0
Colorado Avalanche,Nazem Kadri,MISSED_SHOT,84.0,-7.0
Colorado Avalanche,Mikko Rantanen,SHOT,75.0,15.0
Colorado Avalanche,Andre Burakovsky,SHOT,62.0,2.0
Colorado Avalanche,Mikko Rantanen,SHOT,78.0,-5.0
Colorado Avalanche,Kurtis MacDermid,SHOT,35.0,-6.0
Colorado Avalanche,Darren Helm,SHOT,48.0,-3.0
Colorado Avalanche,Logan O'Connor,SHOT,82.0,-7.0
Colorado Avalanche,Erik Johnson,SHOT,35.0,-34.0
Colorado Avalanche,Mikko Rantanen,MISSED_SHOT,64.0,8.0
Colorado Avalanche,Mikko Rantanen,SHOT,65.0,14.0
Colorado Avalanche,Cale Makar,SHOT,49.0,-18.0
Colorado Avalanche,J.T. Compher,SHOT,83.0,0.0
Colorado Avalanche,Andre Burakovsky,GOAL,72.0,-19.0
Colorado Avalanche,Jayson Megna,SHOT,79.0,-21.0
Colorado Avalanche,Darren Helm,MISSED_SHOT,69.0,-18.0
Colorado Avalanche,Andre Burakovsky,MISSED_SHOT,64.0,-14.0
Colorado Avalanche,Sampo Ranta,SHOT,87.0,-7.0
Colorado Avalanche,Cale Makar,BLOCKED_SHOT,85.0,-16.0
Colorado Avalanche,Sampo Ranta,BLOCKED_SHOT,56.0,-2.0
Colorado Avalanche,Andre Burakovsky,SHOT,52.0,27.0
Colorado Avalanche,Mikko Rantanen,MISSED_SHOT,77.0,-1.0
Colorado Avalanche,Cale Makar,SHOT,33.0,-1.0
Colorado Avalanche,Andre Burakovsky,SHOT,67.0,13.0
Colorado Avalanche,Mikko Rantanen,SHOT,60.0,-26.0
Colorado Avalanche,Mikko Rantanen,SHOT,61.0,-21.0
Colorado Avalanche,Logan O'Connor,SHOT,37.0,-0.0
Colorado Avalanche,Jayson Megna,SHOT,65.0,1.0
Colorado Avalanche,Logan O'Connor,SHOT,56.0,21.0
Colorado Avalanche,Samuel Girard,BLOCKED_SHOT,66.0,4.0
Colorado Avalanche,Nazem Kadri,BLOCKED_SHOT,67.0,-13.0
Colorado Avalanche,Cale Makar,SHOT,61.0,27.0
Colorado Avalanche,Logan O'Connor,SHOT,77.0,1.0
Colorado Avalanche,Mikko Rantanen,MISSED_SHOT,66.0,-20.0
Colorado Avalanche,Tyson Jost,GOAL,76.0,-0.0
Colorado Avalanche,Cale Makar,MISSED_SHOT,47.0,10.0
Colorado Avalanche,J.T. Compher,GOAL,80.0,5.0
Colorado Avalanche,Cale Makar,MISSED_SHOT,35.0,-18.0
Colorado Avalanche,Mikko Rantanen,MISSED_SHOT,75.0,-14.0
Colorado Avalanche,Nathan MacKinnon,SHOT,35.0,21.0
Colorado Avalanche,J.T. Compher,BLOCKED_SHOT,47.0,19.0
Colorado Avalanche,Darren Helm,SHOT,81.0,27.0
Colorado Avalanche,Ryan Murray,BLOCKED_SHOT,77.0,-7.0
